377.821,2099.654,20736
383.820,2123.365,19712
383.761,2125.260,19712
385.792,2139.919,18176
385.768,2140.304,20224
408.811,3270.794,26880
419.208,3336.274,13568
415.440,3357.552,22272
404.631,3757.999,12032
408.799,3782.590,13568
377.633,3054.818,29952
377.600,3067.531,28416
377.602,3077.244,27392
395.753,3125.816,23808
395.741,3417.662,19712
277.971,1916.475,20736
312.412,1941.339,20736
312.498,1950.363,18176
312.460,1952.850,18176
312.442,2114.967,15104
376.723,3098.445,33024
376.802,3099.952,34048
391.105,3130.352,29440
376.684,3387.355,35584
376.718,3400.324,37120
