445.306	4090.885	28671	472.022	4213.697	116077.743931	results/6ms_11_1M_5.txt
449.828	4008.685	18962	473.127	4171.257	74936.538142	results/6ms_11_1M_25.txt
415.308	4455.794	37620	454.567	4241.118	134502.492594	results/6ms_11_1M_50.txt
473.218	3799.721	10584	479.119	4183.238	54720.255861	results/6ms_11_1M_100.txt
400.040	6997.158	94211	418.157	17512.831	309264.182989	results/6ms_10_1M_5.txt
402.363	6909.820	85151	418.748	17545.158	291240.827843	results/6ms_10_1M_25.txt
387.435	18338.487	178100	407.170	45839.100	433547.343100	results/6ms_10_1M_50.txt
649.462	2657.575	12380	347.723	811.586	12317.010605	results/6ms_10_1M_100.txt
406.780	13888.348	138125	415.167	39242.596	378038.976583	results/24ms_11_1M_5.txt
408.140	13902.993	135132	415.668	39334.745	376358.475587	results/24ms_11_1M_25.txt
396.165	13581.025	135454	408.776	38378.077	370652.643587	results/24ms_11_1M_50.txt
414.985	14041.340	133496	418.279	39792.307	378514.950247	results/24ms_11_1M_100.txt
407.026	16994.883	144677	485.627	52675.959	391965.372475	results/24ms_10_1M_5.txt
407.977	16986.179	140673	486.142	52762.782	386367.069656	results/24ms_10_1M_25.txt
399.906	22131.132	183284	479.482	59080.257	440396.133288	results/24ms_10_1M_50.txt
412.628	15667.577	120263	488.854	52207.082	355809.760852	results/24ms_10_1M_100.txt

413.477	20444.420	169285	476.028	57073.030	425970.339556	results/24ms_11_col_5.txt
414.343	20504.547	169783	476.459	57146.576	426500.473887	results/24ms_11_col_25.txt
406.685	19862.467	164456	470.883	56352.306	420770.775034	results/24ms_11_col_50.txt
418.583	20810.521	172321	478.731	57518.519	429179.740077	results/24ms_11_col_100.txt
623.503	117.078	560	485.431	32.850	113.274267	results/24ms_10_col_5.txt
643.633	117.765	559	484.224	33.316	115.425476	results/24ms_10_col_25.txt498.214
116.026	116.026	567	459.738	28.614	96.887448	results/24ms_10_col_50.txt
771.397	120.344	554	459.501	36.588	128.403031	results/24ms_10_col_100.txt
420.510	15646.172	151906	431.693	42814.470	405209.295552	results/6ms_11_col_5.txt
422.467	15735.099	152769	432.140	42920.240	406202.214518	results/6ms_11_col_25.txt
406.055	14810.803	143780	424.417	41796.396	395652.363606	results/6ms_11_col_50.txt
431.780	16195.153	157239	434.940	43460.804	411274.500087	results/6ms_11_col_100.txt
418.786	12167.556	121323	434.303	36546.562	353125.371699	results/6ms_10_col_5.txt
420.164	12216.519	121812	434.635	36612.288	353755.258895	results/6ms_10_col_25.txt
408.634	11699.613	116647	428.882	35907.569	347002.180394	results/6ms_10_col_50.txt
426.859	12467.247	124314	436.556	36946.259	356954.818503	results/6ms_10_col_100.txt

427.106	1398.156	496	427.556	3363.677	186.395063	results/24ms_11_in_5.txt
433.819	1206.701	497	429.758	3139.603	188.246373	results/24ms_11_in_25.txt
379.711	2762.913	486	401.468	4327.083	170.434748	results/24ms_11_in_50.txt
471.315	104.140		504	441.031	45.477		198.393938	results/24ms_11_in_100.txt
391.445	4130.357	46271	435.742	4462.048	180829.554001	results/24ms_10_in_5.txt
397.146	4023.294	33941	438.003	4234.689	128200.034068	results/24ms_10_in_25.txt
372.848	3779.223	42267	420.760	4411.197	173234.128205	results/24ms_10_in_50.txt
410.647	4224.254	35660	444.848	4245.564	131216.862612	results/24ms_10_in_100.txt
399.167	11518.201	112610	424.636	35303.480	341593.612223	results/6ms_11_in_5.txt
400.375	11525.860	113031	424.971	35369.300	342164.736001	results/6ms_11_in_25.txt
389.675	11464.091	108567	419.865	34662.872	336032.531369	results/6ms_11_in_50.txt
406.243	11553.008	115184	426.858	35705.334	345063.073279	results/6ms_11_in_100.txt
79.023	65.145	441	24.303	1.903	0.000000	results/6ms_10_in_5.txt
93.108	66.725	441	22.507	3.666	0.000000	results/6ms_10_in_25.txt
152.875	81.162	441	37.971	12.751	0.000000	results/6ms_10_in_50.txt
861.111	88.766	406	515.036	39.399	118.564515	results/6ms_10_in_100.txt
