377.118,100.525,579
377.157,104.964,582
376.949,105.008,580
377.117,104.957,579
377.119,104.972,579
376.363,123.028,596
376.240,124.946,596
376.319,154.164,585
376.327,154.988,585
376.329,155.281,585
376.658,115.723,579
377.072,123.046,579
377.177,127.184,596
383.100,127.242,579
395.369,124.885,579
307.406,137.269,579
387.929,108.261,580
392.993,110.493,582
392.940,111.073,580
397.490,108.406,579
326.224,125.746,582
397.767,104.672,579
398.942,110.020,579
413.231,107.009,579
433.223,119.119,596
