202.544,10112.123,441
202.301,10114.010,441
202.467,10114.304,441
202.531,10114.561,441
202.534,10118.786,441
110.126,10133.478,441
110.166,10133.826,441
110.048,10134.303,441
110.125,10134.641,441
110.127,10144.670,441
105.938,10137.650,441
103.419,10141.801,441
105.950,10139.668,441
107.160,10147.916,441
103.377,10151.753,441
113.356,10125.063,441
113.354,10126.513,441
113.316,10126.828,441
113.355,10128.968,441
113.356,10130.200,441
109.734,10133.444,441
109.617,10133.983,441
109.687,10134.842,441
109.687,10137.338,441
109.690,10139.231,441
