494.114,6437.913,39680
538.483,6410.146,61696
541.301,6417.175,64256
541.343,6438.233,57600
479.775,7468.072,56064
556.187,6666.073,37632
893.148,6800.406,42752
476.335,7361.531,54528
626.634,7721.569,25344
379.216,8131.387,38144
340.984,6165.770,24320
377.750,6369.530,8960
341.728,6598.165,24320
341.028,7156.597,21760
332.486,7579.205,22272
370.396,6196.239,14592
370.399,6478.207,12032
370.441,6521.978,21248
370.397,6759.702,13568
370.284,7000.397,20736
656.681,7159.728,12032
1109.218,7040.413,13568
718.433,7450.094,66816
680.822,7614.094,57088
633.686,15268.689,789760
